match_id,group,date_utc,venue,home_team,away_team,elo_home,elo_away,elo_diff,form_home_pts,form_away_pts,form_diff,weighted_form_home,weighted_form_away,gf_home_last_n,ga_home_last_n,gf_away_last_n,ga_away_last_n,attack_home,defense_home,attack_away,defense_away,neutral,tournament_weight,points_last_5_home,points_last_5_away,goal_diff_last_5_home,goal_diff_last_5_away,goals_for_last_5_home,goals_for_last_5_away,goals_against_last_5_home,goals_against_last_5_away,win_streak_home,win_streak_away,loss_streak_home,loss_streak_away,clean_sheet_rate_home,clean_sheet_rate_away,failed_to_score_rate_home,failed_to_score_rate_away,h2h_goal_diff,common_opponent_diff,experience_score_home,experience_score_away,avg_age_home,avg_age_away,market_value_proxy_home,market_value_proxy_away,top5_league_count_home,top5_league_count_away,goal_trend_home,goal_trend_away,form_consistency_home,form_consistency_away,attack_ratio_home,attack_ratio_away,elo_form_interaction,goals_per90_home,goals_per90_away,assists_per90_home,assists_per90_away,coach_win_rate_home,coach_win_rate_away,coach_wc_apps_home,coach_wc_apps_away,altitude_m,travel_km_diff,temp_celsius,upset_risk,upset_label
35,E,2026-06-20 20:00:00+00:00,"BMO Field, Toronto",Germany,Côte d'Ivoire,1923.0,1676.0,247.0,15.0,12.0,2.196660421326575,15.0,12.803339578673425,18.0,5.0,12.0,4.0,1.9259,0.7407,1.3333,0.3704,1,4.0,15.0,12.0,13.0,8.0,18.0,12.0,5.0,4.0,5,3,0,0,0.4,0.6,0.0,0.0,-0.0,1.244,35,41,25.3,24.54,455.29,97.46,227.0,48.0,0.8,0.5,0.0,1.2,4.0942,1.5859,1.3564,0.1287,0.1462,0.0847,0.1162,0.57,0.45,0.0,0.0,75.0,1944,22.0,0.4206,Düşük
36,E,2026-06-21 00:00:00+00:00,"GEHA Field at Arrowhead Stadium, Kansas City",Ecuador,Curaçao,1933.0,1436.0,497.0,11.0,4.0,6.434597410040935,11.655181177238735,5.2205837671978,9.0,3.0,6.0,11.0,0.7407,0.2593,1.4815,0.7778,1,4.0,11.0,4.0,6.0,-5.0,9.0,6.0,3.0,11.0,2,1,0,0,0.4,0.4,0.0,0.4,0.0,2.1166,35,30,21.9,25.506410256410252,20.62,107.58538461538458,10.0,53.12820512820513,0.6,-0.7,0.9798,1.1662,0.8438,4.1233,7.995,0.0622,0.13285128205128205,0.0415,0.09216666666666666,0.5,0.4,0.0,0.0,274.0,-741,27.0,0.2618,Düşük
37,H,2026-06-21 16:00:00+00:00,"Mercedes-Benz Stadium, Atlanta",Spain,Saudi Arabia,2165.0,1568.0,597.0,9.0,3.0,4.914330231404128,9.564660379844895,4.650330148440767,9.0,4.0,5.0,9.0,1.963,0.7037,0.8148,0.9259,1,4.0,9.0,3.0,5.0,-4.0,9.0,5.0,4.0,9.0,1,1,0,0,0.4,0.2,0.2,0.4,2.3333333333333335,2.3291,37,51,24.93,26.0,838.99,3.33,419.0,1.0,-1.0,-0.2,0.9798,1.2,1.9134,1.0138,7.3346,0.0993,0.1333,0.0854,0.2667,0.7,0.54,0.0,0.0,200.0,4440,22.0,0.1621,Düşük
38,G,2026-06-21 19:00:00+00:00,"SoFi Stadium, Los Angeles",Belgium,Iran,1867.0,1760.0,107.0,13.0,10.0,1.4567891169637583,13.119621458123117,11.662832341159358,20.0,3.0,11.0,3.0,1.9259,0.8148,1.3704,0.5556,1,4.0,13.0,10.0,17.0,8.0,20.0,11.0,3.0,3.0,2,3,0,0,0.6,0.6,0.0,0.2,0.0,0.8804,34,34,25.31,25.506410256410252,116.92,107.58538461538458,58.0,53.12820512820513,0.3,0.5,0.8,1.2649,2.9376,1.498,0.3897,0.0916,0.13285128205128205,0.0844,0.09216666666666666,0.55,0.45,0.0,0.0,37.0,3152,22.0,0.6059,Orta
39,H,2026-06-21 22:00:00+00:00,"Hard Rock Stadium, Miami",Uruguay,Cabo Verde,1892.0,1549.0,343.0,6.0,5.0,0.06819431573391732,5.200317966575625,5.132123650841708,4.0,7.0,7.0,9.0,0.6296,0.6296,1.0,0.7037,1,4.0,6.0,5.0,-3.0,-2.0,4.0,7.0,7.0,9.0,0,0,0,1,0.4,0.2,0.4,0.2,0.0,0.8512,35,36,26.46,24.0,53.41,2.0,26.0,1.0,-0.2,-0.2,0.9798,1.0954,0.7834,1.3706,0.0585,0.1406,0.0,0.0639,0.0,0.5,0.48,1.0,0.0,200.0,-4231,22.0,0.4536,Orta
40,G,2026-06-22 01:00:00+00:00,"BC Place, Vancouver",New Zealand,Egypt,1585.0,1689.0,-104.0,3.0,8.0,-4.508216259352958,2.8205678128153266,7.328784072168284,4.0,10.0,6.0,2.0,1.5926,0.9259,0.8889,0.5556,1,4.0,3.0,8.0,-6.0,4.0,4.0,6.0,10.0,2.0,0,0,2,1,0.0,0.8,0.8,0.4,-1.0,-1.0258,30,43,33.0,27.25,5.0,10.12,1.0,4.0,0.1,-0.1,1.2,1.2,2.4292,0.8665,1.1721,0.3,0.2121,0.0,0.197,0.38,0.44,0.0,0.0,5.0,-918,17.0,0.5115,Orta
41,J,2026-06-22 17:00:00+00:00,"AT&T Stadium, Dallas",Argentina,Austria,2113.0,1827.0,286.0,15.0,13.0,1.4644402808843857,15.0,13.535559719115614,17.0,1.0,10.0,2.0,1.6296,0.3333,1.6667,0.5556,1,4.0,15.0,13.0,16.0,8.0,17.0,10.0,1.0,2.0,5,3,0,0,0.8,0.6,0.0,0.0,0.0,1.0697,34,33,25.35,27.13,163.44,61.11,81.0,30.0,1.1,-0.7,0.0,0.8,2.4857,3.8465,1.0471,0.1445,0.1113,0.0891,0.1015,0.63,0.57,1.0,0.0,167.0,344,32.0,0.4295,Düşük
42,I,2026-06-22 21:00:00+00:00,"Lincoln Financial Field, Philadelphia",France,Iraq,2081.0,1607.0,474.0,12.0,7.0,3.385960615411956,11.37831923885377,7.992358623441814,12.0,6.0,4.0,5.0,1.6667,0.8148,0.7778,0.7407,1,4.0,12.0,7.0,6.0,-1.0,12.0,4.0,6.0,5.0,1,0,0,0,0.0,0.2,0.0,0.4,0.0,3.039,36,40,23.3,25.506410256410252,665.33,107.58538461538458,332.0,53.12820512820513,-0.1,-0.3,1.2,1.3565,1.9825,0.8502,4.0124,0.1327,0.13285128205128205,0.0997,0.09216666666666666,0.66,0.48,2.0,0.0,5.0,3806,27.0,0.237,Düşük
43,I,2026-06-23 00:00:00+00:00,"MetLife Stadium, East Rutherford",Norway,Senegal,1912.0,1878.0,34.0,8.0,9.0,-0.3302684923966268,7.822740937836031,8.153009430232657,9.0,5.0,8.0,7.0,2.1852,0.6296,1.7407,0.5556,1,4.0,8.0,9.0,4.0,1.0,9.0,8.0,5.0,7.0,0,0,0,1,0.2,0.4,0.2,0.2,-1.0,-0.0906,30,40,24.76,23.29,69.48,113.18,34.0,56.0,-1.3,-0.3,1.2,1.4697,3.3331,2.3858,-0.0281,0.1477,0.1181,0.1177,0.0796,0.48,0.52,0.0,1.0,4.0,241,24.0,0.6537,Yüksek
44,J,2026-06-23 03:00:00+00:00,"Levi's Stadium, Santa Clara",Jordan,Algeria,1690.0,1743.0,-53.0,2.0,10.0,-8.716476326528635,1.6724094113806343,10.38888573790927,7.0,13.0,9.0,2.0,1.1111,1.1111,1.5556,0.4444,1,4.0,2.0,10.0,-6.0,7.0,7.0,9.0,13.0,2.0,0,1,2,0,0.0,0.8,0.2,0.4,-0.0,-0.8464,48,44,28.0,26.5,4.44,49.37,1.0,24.0,-0.3,-0.1,0.4899,1.2649,2.041,1.2845,1.1549,0.2439,0.1374,0.2439,0.1117,0.48,0.49,0.0,0.0,7.0,5022,22.0,0.5415,Orta
45,K,2026-06-23 17:00:00+00:00,"NRG Stadium, Houston",Portugal,Uzbekistan,1984.0,1727.0,257.0,10.0,5.0,7.701757290829966,11.408860601852018,3.7071033110220517,13.0,4.0,6.0,7.0,1.7037,0.7037,0.9259,0.5926,1,4.0,10.0,5.0,9.0,-1.0,13.0,6.0,4.0,7.0,2,0,0,2,0.4,0.2,0.4,0.4,0.0,2.0849,35,36,24.98,21.0,121.33,2.0,60.0,1.0,0.0,-0.2,1.2649,1.0954,2.4599,1.152,4.9484,0.1328,0.0,0.1219,0.0,0.67,0.48,0.0,0.0,15.0,4263,32.0,0.3494,Düşük
46,L,2026-06-23 20:00:00+00:00,"Gillette Stadium, Boston",England,Ghana,2020.0,1503.0,517.0,10.0,1.0,7.947830647496629,9.497940696976885,1.5501100494802555,6.0,2.0,3.0,11.0,1.6667,0.3704,1.0,0.8519,1,4.0,10.0,1.0,4.0,-8.0,6.0,3.0,2.0,11.0,1,0,0,0,0.6,0.0,0.2,0.4,0.0,1.3752,36,33,24.41,24.93,399.44,57.02,199.0,28.0,-1.0,-0.5,1.2649,0.4,1.7509,2.1259,10.2726,0.1439,0.1019,0.0958,0.0697,0.61,0.41,0.0,0.0,50.0,2740,23.0,0.1701,Düşük
47,L,2026-06-23 23:00:00+00:00,"BMO Field, Toronto",Panama,Croatia,1737.0,1930.0,-193.0,8.0,9.0,-0.6190465753283467,7.938704850710097,8.557751426038443,10.0,11.0,8.0,9.0,1.3704,0.8519,1.5185,0.7778,1,4.0,8.0,9.0,-1.0,-1.0,10.0,8.0,11.0,9.0,0,1,0,0,0.0,0.0,0.0,0.2,0.0,-1.8522,49,33,29.0,26.07,3.82,59.83,1.0,29.0,0.2,-0.3,1.2,1.4697,1.5612,1.5952,0.2987,0.1818,0.1825,0.0909,0.0841,0.45,0.53,0.0,2.0,75.0,3200,22.0,0.5416,Orta
48,K,2026-06-24 02:00:00+00:00,"Estadio Akron, Guadalajara",Colombia,DR Congo,1975.0,1655.0,320.0,9.0,10.0,0.27965228614518445,9.982771765858098,9.703119479712914,10.0,6.0,6.0,1.0,1.4074,0.8148,1.037,0.4074,1,4.0,9.0,10.0,4.0,5.0,10.0,6.0,6.0,1.0,2,0,0,0,0.4,0.8,0.0,0.4,0.0,1.5072,37,40,27.37,25.506410256410252,39.43,107.58538461538458,19.0,53.12820512820513,-0.5,0.1,1.4697,1.2649,2.7737,1.1336,0.2237,0.1429,0.13285128205128205,0.1071,0.09216666666666666,0.6,0.48,0.0,0.0,1566.0,1362,18.0,0.4362,Düşük
49,B,2026-06-24 19:00:00+00:00,"BC Place, Vancouver",Switzerland,Canada,1889.0,1784.0,105.0,6.0,9.0,-1.8727273779562585,6.682233700321963,8.554961078278222,9.0,7.0,7.0,3.0,1.4815,0.963,1.1481,0.4074,1,4.0,6.0,9.0,2.0,4.0,9.0,7.0,7.0,3.0,0,0,0,0,0.2,0.6,0.2,0.2,-2.0,1.1975,35,39,25.66,24.67,94.77,20.45,47.0,9.0,-0.4,0.3,0.9798,0.9798,2.9198,1.0801,-0.4916,0.0766,0.2455,0.0753,0.1067,0.53,0.42,1.0,0.0,5.0,-4766,17.0,0.6193,Orta
50,B,2026-06-24 19:00:00+00:00,"Lumen Field, Seattle",Bosnia and Herzegovina,Qatar,1594.0,1425.0,169.0,5.0,2.0,2.7176698100775525,5.0,2.2823301899224475,4.0,4.0,1.0,6.0,1.0741,1.1111,0.8148,1.2963,1,4.0,5.0,2.0,0.0,-5.0,4.0,1.0,4.0,6.0,0,0,0,0,0.2,0.2,0.2,0.8,-1.0,0.7819,29,45,25.506410256410252,25.506410256410252,107.58538461538458,107.58538461538458,53.12820512820513,53.12820512820513,-1.2,-0.5,0.0,0.4899,0.7692,0.6728,1.1482,0.13285128205128205,0.13285128205128205,0.09216666666666666,0.09216666666666666,0.44,0.41,0.0,0.0,4.0,2744,17.0,0.5118,Orta
51,C,2026-06-24 22:00:00+00:00,"Hard Rock Stadium, Miami",Scotland,Brazil,1767.0,1984.0,-217.0,9.0,10.0,-1.68006057530126,9.982771765858098,11.662832341159358,12.0,5.0,13.0,7.0,1.2593,0.8889,1.4074,0.7407,1,4.0,9.0,10.0,7.0,6.0,12.0,13.0,5.0,7.0,2,3,0,0,0.2,0.0,0.4,0.0,-2.0,-2.2227,33,34,25.5,24.74,37.78,185.71,18.0,92.0,0.3,0.1,1.4697,1.2649,1.4979,1.4232,0.9114,0.178,0.1709,0.0656,0.0836,0.5,0.55,0.0,0.0,200.0,1407,22.0,0.5569,Orta
52,C,2026-06-24 22:00:00+00:00,"Mercedes-Benz Stadium, Atlanta",Morocco,Haiti,1822.0,1532.0,290.0,11.0,7.0,4.486641775169648,10.759272663525422,6.272630888355774,13.0,3.0,8.0,4.0,1.5185,0.2593,1.6667,0.8519,1,4.0,11.0,7.0,10.0,4.0,13.0,8.0,3.0,4.0,0,0,0,1,0.4,0.4,0.0,0.2,0.0,2.0184,47,31,23.78,25.75,103.52,9.21,51.0,4.0,0.4,0.1,0.9798,1.3565,1.5952,4.6387,3.2528,0.1523,0.1205,0.1273,0.0602,0.52,0.36,1.0,0.0,200.0,-4303,22.0,0.4442,Düşük
53,A,2026-06-25 01:00:00+00:00,"Estadio Azteca, Mexico City",Czechia,Mexico,1726.0,1860.0,-134.0,11.0,11.0,-0.7398713043628149,11.655181177238735,12.39505248160155,17.0,6.0,9.0,2.0,1.4815,0.8519,1.0741,0.5185,1,4.0,11.0,11.0,11.0,7.0,17.0,9.0,6.0,2.0,2,3,0,0,0.2,0.6,0.0,0.2,1.0,-0.0043,33,49,25.506410256410252,26.2,107.58538461538458,11.31,53.12820512820513,5.0,1.2,0.2,0.9798,0.9798,2.3953,1.1284,0.2479,0.13285128205128205,0.1308,0.09216666666666666,0.0595,0.46,0.46,0.0,3.0,2240.0,-9923,15.0,0.5381,Orta
54,A,2026-06-25 01:00:00+00:00,"Estadio BBVA, Monterrey",South Africa,South Korea,1524.0,1752.0,-228.0,5.0,9.0,-3.392994556593063,6.589777209265035,9.982771765858098,4.0,5.0,7.0,5.0,1.0741,0.5556,1.2963,0.7037,1,4.0,5.0,9.0,-1.0,2.0,4.0,7.0,5.0,5.0,1,2,0,0,0.4,0.6,0.2,0.4,0.0,-0.5395,46,37,24.0,26.25,3.97,17.45,1.0,8.0,-0.7,-0.1,1.0954,1.4697,1.3364,1.9773,1.934,0.1974,0.1446,0.1316,0.0935,0.49,0.45,0.0,0.0,538.0,-3466,28.0,0.486,Orta
55,E,2026-06-25 20:00:00+00:00,"Lincoln Financial Field, Philadelphia",Curaçao,Côte d'Ivoire,1436.0,1676.0,-240.0,4.0,12.0,-7.582755811475625,5.2205837671978,12.803339578673425,6.0,11.0,12.0,4.0,1.4815,0.7778,1.3333,0.3704,1,4.0,4.0,12.0,-5.0,8.0,6.0,12.0,11.0,4.0,1,3,0,0,0.4,0.6,0.4,0.0,0.0,-2.3393,30,41,25.506410256410252,24.54,107.58538461538458,97.46,53.12820512820513,48.0,-0.7,0.5,1.1662,1.2,3.1494,1.5189,4.5497,0.13285128205128205,0.1462,0.09216666666666666,0.1162,0.4,0.45,0.0,0.0,5.0,4872,27.0,0.5556,Orta
56,E,2026-06-25 20:00:00+00:00,"MetLife Stadium, East Rutherford",Ecuador,Germany,1933.0,1923.0,10.0,11.0,15.0,-3.3448188227612654,11.655181177238735,15.0,9.0,3.0,18.0,5.0,0.7407,0.2593,1.9259,0.7407,1,4.0,11.0,15.0,6.0,13.0,9.0,18.0,3.0,5.0,2,5,0,0,0.4,0.4,0.0,0.0,-2.5,-1.0271,35,35,21.9,25.3,20.62,455.29,10.0,227.0,0.6,0.8,0.9798,0.0,0.8811,5.3601,-0.0836,0.0622,0.1287,0.0415,0.0847,0.5,0.57,0.0,0.0,4.0,1802,24.0,0.6606,Yüksek
57,F,2026-06-25 23:00:00+00:00,"AT&T Stadium, Dallas",Japan,Sweden,1904.0,1719.0,185.0,15.0,8.0,7.862408097620808,15.0,7.137591902379192,8.0,0.0,10.0,9.0,1.7778,0.3333,1.5926,1.0741,1,4.0,15.0,8.0,8.0,1.0,8.0,10.0,0.0,9.0,5,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0732,34,31,25.5,25.506410256410252,44.84,107.58538461538458,22.0,53.12820512820513,-0.3,0.7,0.0,1.2,1.5142,3.6755,3.6364,0.0835,0.13285128205128205,0.0928,0.09216666666666666,0.54,0.48,1.0,0.0,167.0,-2202,32.0,0.488,Orta
58,F,2026-06-25 23:00:00+00:00,"GEHA Field at Arrowhead Stadium, Kansas City",Tunisia,Netherlands,1636.0,1961.0,-325.0,5.0,10.0,-5.790837385954833,3.7071033110220517,9.497940696976885,2.0,7.0,9.0,4.0,1.2222,0.7778,1.8519,0.7407,1,4.0,5.0,10.0,-5.0,5.0,2.0,9.0,7.0,4.0,0,1,2,0,0.4,0.2,0.6,0.2,-0.0,-1.3711,42,36,26.71,25.28,14.82,165.14,7.0,82.0,-0.9,-0.4,1.0954,1.2649,1.4538,2.1097,4.7051,0.082,0.114,0.0546,0.076,0.44,0.54,0.0,0.0,274.0,-1358,27.0,0.3601,Düşük
59,D,2026-06-26 02:00:00+00:00,"SoFi Stadium, Los Angeles",United States,Turkey,1721.0,1902.0,-181.0,6.0,13.0,-8.527051145068604,5.332441617417332,13.859492762485935,11.0,12.0,10.0,3.0,1.2222,1.1852,1.5556,0.8148,1,4.0,6.0,13.0,-1.0,7.0,11.0,10.0,12.0,3.0,0,4,1,0,0.0,0.6,0.2,0.0,-0.0,0.0758,46,35,25.506410256410252,25.506410256410252,107.58538461538458,107.58538461538458,53.12820512820513,53.12820512820513,0.4,-0.5,1.4697,0.8,1.336,1.2104,3.8585,0.13285128205128205,0.13285128205128205,0.09216666666666666,0.09216666666666666,0.51,0.48,0.0,0.0,37.0,9403,22.0,0.5959,Orta
60,D,2026-06-26 02:00:00+00:00,"Levi's Stadium, Santa Clara",Paraguay,Australia,1833.0,1783.0,50.0,9.0,7.0,3.100220098960511,9.66755838258267,6.567338283622158,9.0,5.0,7.0,6.0,0.9259,0.6667,1.0741,0.6296,1,4.0,9.0,7.0,4.0,1.0,9.0,7.0,5.0,6.0,1,0,0,0,0.4,0.2,0.0,0.4,-0.4,0.2597,31,35,25.0,27.75,9.16,8.11,4.0,4.0,0.6,0.1,1.4697,1.3565,1.2691,1.4009,0.3875,0.1161,0.0111,0.1045,0.0333,0.46,0.48,1.0,0.0,7.0,2529,22.0,0.599,Orta
61,I,2026-06-26 19:00:00+00:00,"Gillette Stadium, Boston",Norway,France,1912.0,2081.0,-169.0,8.0,12.0,-3.5555783010177393,7.822740937836031,11.37831923885377,9.0,5.0,12.0,6.0,2.1852,0.6296,1.6667,0.8148,1,4.0,8.0,12.0,4.0,6.0,9.0,12.0,5.0,6.0,0,1,0,0,0.2,0.0,0.2,0.0,-1.5,-1.1314,30,36,24.76,23.3,69.48,665.33,34.0,332.0,-1.3,-0.1,1.2,1.2,2.3887,2.2844,1.5022,0.1477,0.1327,0.1177,0.0997,0.48,0.66,0.0,2.0,50.0,-90,23.0,0.4377,Düşük
62,I,2026-06-26 19:00:00+00:00,"BMO Field, Toronto",Senegal,Iraq,1878.0,1607.0,271.0,9.0,7.0,0.16065080679084343,8.153009430232657,7.992358623441814,8.0,7.0,4.0,5.0,1.7407,0.5556,0.7778,0.7407,1,4.0,9.0,7.0,1.0,-1.0,8.0,4.0,7.0,5.0,0,0,1,0,0.4,0.2,0.2,0.4,0.0,1.2809,40,40,23.29,25.506410256410252,113.18,107.58538461538458,56.0,53.12820512820513,-0.3,-0.3,1.4697,1.3565,2.0705,1.1864,0.1088,0.1181,0.13285128205128205,0.0796,0.09216666666666666,0.52,0.48,1.0,0.0,75.0,3097,22.0,0.4691,Orta
63,H,2026-06-27 00:00:00+00:00,"NRG Stadium, Houston",Cabo Verde,Saudi Arabia,1549.0,1568.0,-19.0,5.0,3.0,0.481793502400941,5.132123650841708,4.650330148440767,7.0,9.0,5.0,9.0,1.0,0.7037,0.8148,0.9259,1,4.0,5.0,3.0,-2.0,-4.0,7.0,5.0,9.0,9.0,0,1,1,0,0.2,0.2,0.2,0.4,0.0,0.1046,36,51,24.0,26.0,2.0,3.33,1.0,1.0,-0.2,-0.2,1.0954,1.2,0.9748,1.0138,-0.0229,0.0,0.1333,0.0,0.2667,0.48,0.54,0.0,0.0,15.0,7743,32.0,0.7604,Yüksek
64,H,2026-06-27 00:00:00+00:00,"Estadio Akron, Guadalajara",Uruguay,Spain,1892.0,2165.0,-273.0,6.0,9.0,-4.36434241326927,5.200317966575625,9.564660379844895,4.0,7.0,9.0,4.0,0.6296,0.6296,1.963,0.7037,1,4.0,6.0,9.0,-3.0,5.0,4.0,9.0,7.0,4.0,0,1,0,0,0.4,0.4,0.4,0.2,-1.6666666666666667,-0.847,35,37,26.46,24.93,53.41,838.99,26.0,419.0,-0.2,-1.0,0.9798,0.9798,0.7834,2.6905,2.9787,0.1406,0.0993,0.0639,0.0854,0.5,0.7,1.0,0.0,1566.0,1372,18.0,0.5118,Orta
65,G,2026-06-27 03:00:00+00:00,"Lumen Field, Seattle",Egypt,Iran,1689.0,1760.0,-71.0,8.0,10.0,-4.334048268991074,7.328784072168284,11.662832341159358,6.0,2.0,11.0,3.0,0.8889,0.5556,1.3704,0.5556,1,4.0,8.0,10.0,4.0,8.0,6.0,11.0,2.0,3.0,0,3,1,0,0.8,0.6,0.4,0.2,0.0,-0.421,43,34,27.25,25.506410256410252,10.12,107.58538461538458,4.0,53.12820512820513,-0.1,0.5,1.2,1.2649,1.3559,2.0903,0.7693,0.2121,0.13285128205128205,0.197,0.09216666666666666,0.44,0.45,0.0,0.0,4.0,-254,17.0,0.5012,Orta
66,G,2026-06-27 03:00:00+00:00,"BC Place, Vancouver",New Zealand,Belgium,1585.0,1867.0,-282.0,3.0,13.0,-10.29905364530779,2.8205678128153266,13.119621458123117,4.0,10.0,20.0,3.0,1.5926,0.9259,1.9259,0.8148,1,4.0,3.0,13.0,-6.0,17.0,4.0,20.0,10.0,3.0,0,2,2,0,0.0,0.6,0.8,0.0,0.0,-2.0658,30,34,33.0,25.31,5.0,116.92,1.0,58.0,0.1,0.3,1.2,0.8,1.7409,1.8773,7.2608,0.3,0.0916,0.0,0.0844,0.38,0.55,0.0,0.0,5.0,-3938,17.0,0.2975,Düşük
67,L,2026-06-27 21:00:00+00:00,"MetLife Stadium, East Rutherford",Panama,England,1737.0,2020.0,-283.0,8.0,10.0,-1.5592358462667884,7.938704850710097,9.497940696976885,10.0,11.0,6.0,2.0,1.3704,0.8519,1.6667,0.3704,1,4.0,8.0,10.0,-1.0,4.0,10.0,6.0,11.0,2.0,0,1,0,0,0.0,0.6,0.0,0.2,-5.0,-2.456,48,36,29.0,24.41,3.82,399.44,1.0,199.0,0.2,-1.0,1.2,1.2649,2.9133,1.7509,1.1032,0.1818,0.1439,0.0909,0.0958,0.45,0.61,0.0,0.0,4.0,1989,24.0,0.5092,Orta
68,L,2026-06-27 21:00:00+00:00,"Lincoln Financial Field, Philadelphia",Croatia,Ghana,1930.0,1503.0,427.0,9.0,1.0,7.007641376558188,8.557751426038443,1.5501100494802555,8.0,9.0,3.0,11.0,1.5185,0.7778,1.0,0.8519,1,4.0,9.0,1.0,-1.0,-8.0,8.0,3.0,9.0,11.0,1,0,0,0,0.0,0.0,0.2,0.4,0.0,0.9321,33,33,26.07,24.93,59.83,57.02,29.0,28.0,-0.3,-0.5,1.4697,0.4,1.5952,1.1392,7.4807,0.1825,0.1019,0.0841,0.0697,0.53,0.41,2.0,0.0,5.0,1292,27.0,0.2631,Düşük
69,K,2026-06-27 23:30:00+00:00,"Hard Rock Stadium, Miami",Colombia,Portugal,1975.0,1984.0,-9.0,9.0,10.0,-1.4260888359939194,9.982771765858098,11.408860601852018,10.0,6.0,13.0,4.0,1.4074,0.8148,1.7037,0.7037,1,4.0,9.0,10.0,4.0,9.0,10.0,13.0,6.0,4.0,2,2,0,0,0.4,0.4,0.0,0.4,0.0,-0.5147,37,35,27.37,24.98,39.43,121.33,19.0,60.0,-0.5,0.0,1.4697,1.2649,1.7512,1.8624,0.0321,0.1429,0.1328,0.1071,0.1219,0.6,0.67,0.0,0.0,200.0,2618,22.0,0.6854,Yüksek
70,K,2026-06-27 23:30:00+00:00,"Mercedes-Benz Stadium, Atlanta",DR Congo,Uzbekistan,1655.0,1727.0,-72.0,10.0,5.0,5.996016168690862,9.703119479712914,3.7071033110220517,6.0,1.0,6.0,7.0,1.037,0.4074,0.9259,0.5926,1,4.0,10.0,5.0,5.0,-1.0,6.0,6.0,1.0,7.0,0,0,0,2,0.8,0.2,0.4,0.4,0.0,-1.4147,40,36,25.506410256410252,21.0,107.58538461538458,2.0,53.12820512820513,1.0,0.1,-0.2,1.2649,1.0954,1.4973,1.8248,-1.0793,0.13285128205128205,0.0,0.09216666666666666,0.0,0.48,0.48,0.0,0.0,200.0,5836,22.0,0.7043,Yüksek
71,J,2026-06-28 02:00:00+00:00,"GEHA Field at Arrowhead Stadium, Kansas City",Algeria,Austria,1743.0,1827.0,-84.0,10.0,13.0,-3.1466739812063445,10.38888573790927,13.535559719115614,9.0,2.0,10.0,2.0,1.5556,0.4444,1.6667,0.5556,1,4.0,10.0,13.0,7.0,8.0,9.0,10.0,2.0,2.0,1,3,0,0,0.8,0.6,0.4,0.0,0.0,-0.8574,44,33,26.5,27.13,49.37,61.11,24.0,30.0,-0.1,-0.7,1.2649,0.8,2.3728,3.0615,0.6608,0.1374,0.1113,0.1117,0.1015,0.49,0.57,0.0,0.0,274.0,62,27.0,0.6403,Orta
72,J,2026-06-28 02:00:00+00:00,"AT&T Stadium, Dallas",Jordan,Argentina,1690.0,2113.0,-423.0,2.0,15.0,-13.327590588619366,1.6724094113806343,15.0,7.0,13.0,17.0,1.0,1.1111,1.1111,1.6296,0.3333,1,4.0,2.0,15.0,-6.0,16.0,7.0,17.0,13.0,1.0,0,5,2,0,0.0,0.8,0.2,0.0,0.0,-2.2867,48,34,28.0,25.35,4.44,163.44,1.0,81.0,-0.3,1.1,0.4899,0.0,2.5643,1.3456,14.0939,0.2439,0.1445,0.2439,0.0891,0.48,0.63,0.0,1.0,167.0,3509,32.0,0.3222,Düşük
